TITULO_ORIGINAL,TITULO_BRASIL,RAZAO_SOCIAL_DISTRIBUIDORA,PAIS_OBRA,PUBLICO,ANO
A STREETCAR NAMED DESIRE,UM BONDE CHAMADO DESEJO,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,INGLATERRA,169,2015
A SUPERFÍCIE DA SOMBRA,,PANDA FILMES LTDA,BRASIL,1178,2018
A SUSPEITA,,WMIX DISTRIBUIDORA LTDA.,BRASIL,7518,2022
A TALE OF LOVE AND DARKNESS,DE AMOR E TREVAS,P & M DISTRIBUIDORA DE FILMES LTDA,ISRAEL,8148,2016
A TAXI DRIVER,O MOTORISTA DE TÁXI,ANTONIO FERNANDES FILMES LTDA,CORÉIA DO SUL,2234,2018
A TERRA NEGRA DOS KAWA,,LIVRES DISTRIBUIDORA DE AUDIVISUAL LTDA ME,BRASIL,682,2023
A TERRA VERMELHA,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1561,2017
A THOUSAND TIMES GOOD NIGHT,MIL VEZES BOA NOITE,MARES FILMES EIRELI,NORUEGA,49823,"2014, 2015"
A TORRE,,VITRINE FILMES LTDA,BRASIL,48,2021
A TOUCH OF SIN,UM TOQUE DE PECADO,SM DISTRIBUIDORA DE FILMES LTDA,CHINA,1721,2014
A TROPA DE TRAPO - NA SELVA DO ARCO-ÍRIS,,RAIZ DISTRIBUIDORA AUDIOVISUAL LTDA.,BRASIL,108,2018
A TURMA DO PERERÊ.DOC,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,473,"2019, 2020"
A VERDADE DA MENTIRA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,6,2020
A VIAGEM DE PEDRO,,VITRINE FILMES LTDA,PORTUGAL,11852,2022
A VIAGEM DE YOANI,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,979,2015
A VIDA EXTRA-ORDINÁRIA DE TARSO DE CASTRO,,BOULEVARD FILMES LTDA,BRASIL,1413,2018
A VIDA INVISÍVEL,,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ALEMANHA,136419,"2019, 2020"
A VIDA PRIVADA DOS HIPOPÓTAMOS,,VITRINE FILMES LTDA,BRASIL,1141,2015
A VIZINHANÇA DO TIGRE,,AFFONSO UCHOA ALONSO RODRIGUES,BRASIL,1806,2016
A VOZ DO SILÊNCIO,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,ARGENTINA,3195,"2018, 2019"
A WALK AMONG THE TOMBSTONES,CAÇADA MORTAL,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,373853,"2014, 2015"
A WRINKLE IN TIME,UMA DOBRA NO TEMPO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,153483,2018
A ÚLTIMA ABOLIÇÃO,,PIPOCA PRODUÇÕES E DISTRIBUIÇÃO ARTÍSTICAS LTDA ME,BRASIL,3791,2018
A ÚLTIMA CHANCE,,CANNES PRODUÇÕES S/A,BRASIL,96,"2018, 2019"
A ÚLTIMA ESTAÇÃO,,CINEMATOGRÁFICA POLIFILMES LTDA-ME,BRASIL,130,2014
A ÚLTIMA FESTA,,H2O DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,1624,2023
A ÚLTIMA FLORESTA,,GULLANE ENTRETENIMENTO S.A.,BRASIL,2447,2021
ABAIXANDO A MÁQUINA 2 - NO LIMITE DA LINHA,,PONTO DE EQUILIBRIO EVENTOS E IMAGEM EIRELI,BRASIL,390,2016
ABAIXO A GRAVIDADE,,P & M DISTRIBUIDORA DE FILMES LTDA,BRASIL,851,2019
ABE,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,3610,2021
ABELHA GIRL A SUPER HEROÍNA DO BRASIL,,LUCIANA REGINA RODRIGUES -ME,BRASIL,13644,2023
ABESTALHADOS 2,,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,2004,2022
ABIGAIL,ABIGAIL,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,117967,2024
ABIGAIL,ABIGAIL E A CIDADE PROIBIDA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,RÚSSIA,66775,2019
ABOMINABLE,ABOMINÁVEL,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,CHINA,1028836,"2019, 2020"
ABOUT MY FATHER,MEU PAI É UM PERIGO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,13021,2023
ABOUT TIME,QUESTÃO DE TEMPO,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,54180,2014
ABRAÇO,,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,BRASIL,541,2020
ABRINDO O ARMÁRIO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,1641,2018
ABUS DE FAIBLESSE,UMA RELAÇÃO DELICADA,TUCUMÁN DISTRIBUIDORA DE FILMES LTDA,FRANÇA,4282,2014
ACAMPAMENTO INTERGALÁCTICO,,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,BRASIL,29164,2022
ACCUSED (LUCIA DE B.),A ACUSADA,CANNES PRODUÇÕES S/A,HOLANDA,5145,2015
ACONTECEU NA QUARTA-FEIRA (DOPPELGANGER),,FORTE FILMES PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,211,2019
ACQUA MOVIE,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1209,2021
ACRIMONY,ACRIMÔNIA - ELA QUER VINGANÇA,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,3159,2018
AD ASTRA,AD ASTRA,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,360572,"2019, 2020"
ADAM,ADAM,ARTEPLEX DISTRIBUIDORA LTDA,BÉLGICA,21056,"2019, 2020, 2021, 2022"
ADEMÃ - A VIDA E AS NOTAS DE IBRAHIM SUED,,BEAUCASTEL PRODUÇOES ARTISTICAS LTDA,BRASIL,51,2022
ADIEU AU LANGAGE,ADEUS À LINGUAGEM,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,27722,"2015, 2016, 2018"
ADIEU LES CONS,"ADEUS, IDIOTAS",CINEMATOGRÁFICA POLIFILMES LTDA-ME,FRANÇA,1630,2022
ADIEU MONSIEUR HAFFMANN,O DESTINO DE HAFFMANN,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,FRANÇA,5047,2022
ADN,DNA,VITRINE FILMES LTDA,ARGÉLIA,2131,2021
"ADONIRAN, MEU NOME É JOÃO RUBINATO",,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,7389,"2020, 2023"
ADRIFT,VIDAS À DERIVA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,222791,"2018, 2019"
ADULTS IN THE ROOM,JOGO DO PODER,ANTONIO FERNANDES FILMES LTDA,FRANÇA,2246,2021
ADVENTURES OF A MATHEMATICIAN,O MATEMÁTICO,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ALEMANHA,1978,2021
AESPA: WORLD TOUR IN CINEMAS,AESPA: WORLD TOUR IN CINEMAS,UNITED CINEMAS INTERNATIONAL BRASIL LTDA.,CORÉIA DO SUL,4160,2024
AFTER,AFTER,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,263616,2019
AFTER DEATH,DEPOIS DA MORTE,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,ESTADOS UNIDOS,2627,2024
AFTER EVER HAPPY,AFTER - DEPOIS DA PROMESSA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,164755,2022
AFTER EVERYTHING,AFTER PARA SEMPRE,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,89956,2023
AFTER THE WEDDING,DEPOIS DO CASAMENTO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,36710,2019
AFTER WE FELL,AFTER DEPOIS DO DESENCONTRO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,171160,2021
AFTERMATH,EM BUSCA DE VINGANÇA,H20 PRODUÇÕES LTDA,ESTADOS UNIDOS,8740,2017
AFTERSUN,AFTERSUN,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ESTADOS UNIDOS,75818,"2022, 2023, 2024"
AGRESTE,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,23,2024
AH-GA-SSI,A CRIADA (2017),MARES FILMES EIRELI,CORÉIA DO SUL,39623,2017
AI WEIWEI: NEVER SORRY,AI WEIWEI: SEM PERDÃO,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ESTADOS UNIDOS,638,"2015, 2016"
"AIMER, BOIRE ET CHANTER","AMAR, BEBER E CANTAR",TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,42384,"2014, 2015"
AIN'T THEM BODIES SAINTS,AMOR FORA DA LEI,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2870,2014
AINBO - THE SPIRIT OF THE AMAZON,AINBO – A GUERREIRA DA AMAZÔNIA,SM DISTRIBUIDORA DE FILMES LTDA,PERU,152322,"2021, 2022, 2023"
AINDA ESTOU AQUI,,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,BRASIL,2625,2024
AINDA SOMOS OS MESMOS,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,2362,2024
AINDA TEMOS A IMENSIDÃO DA NOITE,,PROVIDENCE DISTRIBUIDORA DE FILMES LTDA - EPP,BRASIL,919,"2019, 2020, 2024"
AIR,AIR: A HISTÓRIA POR TRÁS DO LOGO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,184999,2023
AKU WA SONZAI SHINAI,O MAL NÃO EXISTE,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,JAPÃO,13238,2024
AL FINAL DEL TUNEL,NO FIM DO TÚNEL,WARNER BROS. (SOUTH) INC.,ESPANHA,16889,2016
ALADDIN,ALADDIN,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,4792755,"2019, 2020, 2021"
ALASKA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2143,2019
ALBATROZ,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,6387,2019
ALCESTE À BICYCLETTE,PEDALANDO COM MOLIÈRE,WMIX DISTRIBUIDORA LTDA.,FRANÇA,1013,2014
ALDEIA NATAL,,GP7 CINEMA LTDA,BRASIL,1394,2023
ALDEOTAS,,GULLANE ENTRETENIMENTO S.A.,BRASIL,999,"2022, 2023"
"ALELUIA, O CANTO INFINITO DO TINCOÃ",,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,318,"2021, 2022"
ALEMÃO,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,955875,2014
ALEMÃO 2,,VITRINE FILMES LTDA,BRASIL,39952,2022
ALEX CAMERA 10,,MORO COMUNICACAO LTDA,BRASIL,358,2019
"ALEXANDER AND THE TERRIBLE, HORRIBLE, NOT GOOD, VERY BAD DAY","ALEXANDRE E O DIA TERRÍVEL, HORRÍVEL, ESPANTOSO E HORROROSO",THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,265691,"2014, 2015"
ALGUMA COISA ASSIM,,VITRINE FILMES LTDA,ALEMANHA,5852,"2017, 2018"
ALGUNAS BESTIAS,SEGREDOS EM FAMÍLIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CHILE,1550,2022
ALGUÉM COMO EU,,SM DISTRIBUIDORA DE FILMES LTDA,PORTUGAL,28531,"2018, 2022"
ALGUÉM QUALQUER,,PANDA FILMES LTDA,BRASIL,568,2014
ALICE & SÓ,,THE WALT DISNEY COMPANY (BRASIL) LTDA.,BRASIL,155,2020
ALICE DOS ANJOS,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,18,"2022, 2024"
ALICE ET LE MAIRE,ALICE E O PREFEITO,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,1625,2021
ALICE JÚNIOR,,OLHAR DISTRIBUICAO DE FILMES LTDA,BRASIL,97,2020
ALICE NO MUNDO DA INTERNET,,SYNAPSE BRAZIL PRODUCTION AND DISTRIBUTION LTDA,BRASIL,13,2022
ALICE THROUGH THE LOOKING GLASS,ALICE ATRAVÉS DO ESPELHO,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,2219771,"2016, 2017"
ALIEN: COVENANT,ALIEN: COVENANT,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,663428,2017
ALIEN: ROMULUS,ALIEN: ROMULUS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,595172,2024
ALINE,ALINE A VOZ DO AMOR,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,CANADÁ,2365,2022
ALITA: BATTLE ANGEL,ALITA: ANJO DE COMBATE,FOX FILM DO BRASIL LTDA,ARGENTINA,1028151,2019
ALIYAH,ALIYAH,ARTE VITAL EXIBIÇÕES CINEMATOGRÁFICAS LTDA,FRANÇA,4406,2015
ALL FUN AND GAMES,O JOGO DA INVOCAÇÃO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,200318,"2023, 2024"
ALL I SEE IS YOU,POR TRÁS DOS SEUS OLHOS,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,10370,2018
ALL IS LOST,ATÉ O FIM,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,28971,"2014, 2015"
ALL OF US STRANGERS,TODOS NÓS DESCONHECIDOS,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,21219,2024
ALL THE MONEY IN THE WORLD,TODO O DINHEIRO DO MUNDO,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,ESTADOS UNIDOS,131345,2018
ALL THREE OF US,NÓS OU NADA EM PARIS,RJ DISTRIBUIDORA DE FILMES LTDA,FRANÇA,9291,2016
ALLEGIANT,A SÉRIE DIVERGENTE: CONVERGENTE,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2016947,2016
ALLEGRO,ALLEGRO,CENTRO DE CULTURA CINEMATOGRÁFICA PROVIDENCE,DINAMARCA,284,2014
ALLIED,ALIADOS,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,388488,2017
ALMA IMORAL,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,3143,2019
ALMA VIVA,ALMA VIVA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,1902,"2023, 2024"
ALOHA,SOB O MESMO CÉU,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,90819,2015
ALPHA,ALFA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,507000,2018
ALTAS EXPECTATIVAS,,VITRINE FILMES LTDA,BRASIL,6694,"2017, 2018"
ALUCINADOS,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,115,2015
ALVA,ALVA,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,ARGENTINA,21,2020
ALVIN AND THE CHIPMUNKS: CHIPWRECKED,ALVIN E OS ESQUILOS 3,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,1751,2015
ALVIN AND THE CHIPMUNKS: THE ROAD CHIP,ALVIN E OS ESQUILOS: NA ESTRADA,FOX FILM DO BRASIL LTDA,ESTADOS UNIDOS,3418267,"2015, 2016"
ALVORADA,,VITRINE FILMES LTDA,BRASIL,1189,"2021, 2022"
ALÉM DA ESTRADA,,VITRINE FILMES LTDA,BRASIL,191,"2014, 2016"
ALÉM DA LENDA - FILME,,BOULEVARD FILMES LTDA,BRASIL,3761,"2022, 2023"
ALÉM DE NÓS,,PANDA FILMES LTDA,BRASIL,403,2023
ALÉM DO HOMEM,,WMIX DISTRIBUIDORA LTDA.,BRASIL,2841,2018
AMA-SAN,AMA-SAN,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,JAPÃO,1717,2019
AMADO,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,1303,2022
AMANDA,AMANDA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,13164,"2019, 2020"
AMANHÃ,,DESCOLONIZA FILMES E PRODUCOES ARTISTICAS EIRELI,BRASIL,141,2024
AMANHÃ CHEGOU,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,709,"2018, 2019"
AMANT DOUBLE,O AMANTE DUPLO,ANTONIO FERNANDES FILMES LTDA,BÉLGICA,28108,"2018, 2019"
AMARRAÇÃO DO AMOR,,SM DISTRIBUIDORA DE FILMES LTDA,BRASIL,25802,2021
AMAZÔNIA ETERNA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,241,"2014, 2015"
AMAZÔNIA GROOVE,,PAGU DISTRIBUICAO DE FILMES LTDA.,BRASIL,1483,2019
AMAZÔNIA PLANETA VERDE,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,83417,"2014, 2015"
"AMAZÔNIA, O DESPERTAR DA FLORESTANIA",,MIRÍADE FILMES E PRODUÇÕES ARTÍSTICAS LTDA,BRASIL,3843,2019
AMBIENTE FAMILIAR,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,728,2019
AMBULANCE,AMBULÂNCIA: UM DIA DE CRIME,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,151129,2022
AMELIA´S CHILDREN,A SEMENTE DO MAL,WMIX DISTRIBUIDORA LTDA.,PORTUGAL,74656,2024
AMERICAN ASSASSIN,O ASSASSINO – O PRIMEIRO ALVO,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,168343,2017
AMERICAN BEAUTY,BELEZA AMERICANA,CINEMARK BRASIL S.A,ESTADOS UNIDOS,2207,2016
AMERICAN HISTORY X,A OUTRA HISTÓRIA AMERICANA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,28,2021
AMERICAN HUSTLE,TRAPAÇA,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,634215,2014
AMERICAN MADE,FEITO NA AMÉRICA,UNIVERSAL PICTURES INTERNATIONAL BRAZIL LTDA.,ESTADOS UNIDOS,548447,2017
AMERICAN SNIPER,SNIPER AMERICANO,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1167090,"2015, 2020, 2022, 2024"
AMERICAN ULTRA,AMERICAN ULTRA,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,10993,2015
AMIGAS DE SORTE,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,415,2021
AMIGO ARRIGO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,21,2022
AMIGO SECRETO,,VITRINE FILMES LTDA,ALEMANHA,12155,2022
AMIGOS DE RISCO,,INQUIETA CINEMA CULTURA E COMUNICAÇÃO LTDA - ME,BRASIL,596,2022
AMIRA,AMIRA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,EGITO,1318,2022
AMITIÉS SINCERES,GRANDES AMIGOS,CANNES PRODUÇÕES S/A,FRANÇA,8482,"2014, 2015"
AMITYVILLE: THE AWAKENING,AMITYVILLE: O DESPERTAR,SM DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,173445,2017
AMNESIA,AMNÉSIA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,9817,"2016, 2017"
AMNISTIA,ANISTIA,FREDERICO DA CRUZ MACHADO - ME,ALBÂNIA,320,2016
AMOR EM SAMPA,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,13049,2016
AMOR FATI,AMOR FATI,BRETZ FILMES DISTRIBUIDORA E PRODUTORA LTDA - EPP,FRANÇA,22,"2021, 2022"
AMOR SEM MEDIDA,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,95,2021
"AMOR, PLÁSTICO E BARULHO",,BOULEVARD FILMES LTDA,BRASIL,5235,"2015, 2016"
AMOR.COM,,H2O DISTRIBUIDORA DE FILMES LTDA,BRASIL,91843,2017
AMORES DE CHUMBO,,ELO AUDIOVISUAL SERVIÇOS LTDA,BRASIL,2572,"2018, 2019, 2020"
AMORES URBANOS,,CANNES PRODUÇÕES S/A,BRASIL,7554,2016
AMORI CHE NON SANNO STARE AL MONDO,HISTÓRIAS DE AMOR QUE NÃO PERTENCEM A ESTE MUNDO,MARES FILMES EIRELI,ITÁLIA,14443,"2017, 2018"
AMOROSA SOLEDAD,AMOROSA SOLEDAD,ESFERA PRODUÇÕES CULTURAIS EIRELI,ARGENTINA,5166,"2014, 2015"
AMOUR,AMOUR,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,342,"2014, 2015"
AMOUREUX DE MA FEMME,A OUTRA MULHER,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,43634,"2018, 2019"
AMSTERDAM,AMSTERDAM,THE WALT DISNEY COMPANY (BRASIL) LTDA.,ESTADOS UNIDOS,130020,2022
AMY,AMY,UNIVERSAL MUSIC INTERNATIONAL LTDA,INGLATERRA,20773,"2015, 2016"
AN,SABOR DA VIDA,ANTONIO FERNANDES FILMES LTDA,JAPÃO,16882,"2015, 2016"
AN AMERICAN IN PARIS,SINFONIA DE PARIS,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,10,2023
AN CAILÍN CIÚIN,A MENINA SILENCIOSA,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,IRLANDA,18223,"2023, 2024"
AN ELEPHANT SITTING STILL,UM ELEFANTE SENTADO QUIETO,ZETA FILMES LTDA,CHINA,1305,2019
AN EPISODE IN THE LIFE OF AN IRON PICKER,UM EPISÓDIO NA VIDA DE UM CATADOR DE FERRO-VELHO,ZETA FILMES LTDA,BÓSNIA-HERZEGÓVINA,855,"2014, 2016"
AN INCONVENIENT SEQUEL: TRUTH TO POWER,UMA VERDADE MAIS INCONVENIENTE,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,2916,"2017, 2018"
AN INTERVIEW WITH GOD,ENTREVISTA COM DEUS,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,192745,"2018, 2019"
AN OFFICER AND A GENTLEMAN,A FORÇA DO DESTINO,CINEMARK BRASIL S.A,ESTADOS UNIDOS,794,2015
AN OFFICER AND A SPY,O OFICIAL E O ESPIÃO,ANTONIO FERNANDES FILMES LTDA,FRANÇA,10898,"2020, 2021"
AN ORDINARY MAN,UM HOMEM COMUM,A2 DISTRIBUIDORA DE FILMES LTDA EPP,ESTADOS UNIDOS,40454,"2018, 2019"
ANA E VITÓRIA,,VITRINE FILMES LTDA,BRASIL,72919,2018
ANA NOJOOM BENT ALASHERAH WAMOTALAGAH,"NOJOOM, 10 ANOS, DIVORCIADA",ESFERA PRODUÇÕES CULTURAIS EIRELI,IÊMEN,2604,"2016, 2017"
ANA. SEM TITULO,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,ARGENTINA,389,2021
ANATOMY OF A FALL,ANATOMIA DE UMA QUEDA,DIAMOND FILMS DO BRASIL PRODUÇÃO E DISTRIBUIÇÃO AUDIOVISUAL LTDA.,FRANÇA,258524,2024
ANCHORMAN 2: THE LEGEND CONTINUES,TUDO POR UM FURO,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,69143,2014
AND IF WE ALL LIVED TOGETHER?,E SE VIVÊSSEMOS TODOS JUNTOS?,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,ALEMANHA,147,2016
AND SO IT GOES,UM AMOR DE VIZINHA,PLAYARTE PICTURES ENTRETENIMENTOS LTDA.,ESTADOS UNIDOS,60851,2014
ANDANÇA - OS ENCONTROS E AS MEMÓRIAS DE BETH CARVALHO,,TV ZERO CINEMA LTDA,BRASIL,9752,2023
ANDRE RIEU - CONCERT  MAASTRICHT 2016,ANDRE RIEU - MAASTRICHT CONCERTO 2016,CINEMARK BRASIL S.A,INGLATERRA,2101,2016
ANDRE RIEU'S 2015 MAASTRICHT CONCERT,ANDRE RIEU,CINEMARK BRASIL S.A,INGLATERRA,3108,2015
ANG BABAENG HUMAYO,A MULHER QUE SE FOI,ZETA FILMES LTDA,FILIPINAS,798,2017
ANG PANAHON NG HALIMAW,ESTAÇÃO DO DIABO,ZETA FILMES LTDA,FILIPINAS,253,2019
ANGEL HAS FALLEN,INVASÃO AO SERVIÇO SECRETO,WMIX DISTRIBUIDORA LTDA.,ESTADOS UNIDOS,486210,"2019, 2020"
ANGELA,,FREESPIRIT DISTRIBUIDORA DE FILMES LTDA.,BRASIL,22504,2023
ANGRY BIRDS,ANGRY BIRDS - O FILME,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,1833485,"2016, 2017"
ANIMAL POLÍTICO,,VITRINE FILMES LTDA,BRASIL,4286,2017
ANITA E GARIBALDI,,CINEMATOGRÁFICA POLIFILMES LTDA-ME,BRASIL,94,2014
ANNA,,RESERVA NACIONAL DISTRIBUIDORA DE FILMES LTDA.,BRASIL,663,2021
ANNA,ANNA - O PERIGO TEM NOME,SM DISTRIBUIDORA DE FILMES LTDA,FRANÇA,100444,"2019, 2020"
ANNA K.,,PRETA PORTÊ FILMES E PRODUÇÕES CULTURAIS LTDA,BRASIL,721,2015
ANNA KARENINA. ISTORIYA VRONSKOGO,ANNA KARENINA: A HISTÓRIA DE VRONSKY,UNIÃO MUNICIPAL DOS ESTUDANTES SECUNDARISTAS,RÚSSIA,10085,2018
ANNABELLE,ANNABELLE,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,3742347,"2014, 2015, 2016, 2017, 2020"
ANNABELLE COMES HOME,ANNABELLE 3: DE VOLTA PARA CASA,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,1789224,"2019, 2020, 2021, 2023"
ANNABELLE: CREATION,ANNABELLE 2: A CRIAÇÃO DO MAL,WARNER BROS. (SOUTH) INC.,ESTADOS UNIDOS,2964983,"2017, 2020"
ANNETTE,ANNETTE,O2 PRODUÇÕES ARTÍSTICAS E CINEMATOGRÁFICAS LTDA.,ESTADOS UNIDOS,1155,"2021, 2022"
ANNI FELICI,ANOS FELIZES,TAG CULTURAL DISTRIBUIDORA DE FILMES LTDA,FRANÇA,7345,2014
ANNIE,ANNIE,COLUMBIA TRISTAR FILMES DO BRASIL LTDA,ESTADOS UNIDOS,85447,2015
ANOMALISA,ANOMALISA,PARAMOUNT PICTURES BRASIL DISTRIBUIDORA DE FILMES LTDA,ESTADOS UNIDOS,24032,"2015, 2016, 2017"
